Date,Open,High,Low,Close,Volume,Dividends
2021-07-01,227.97,229.33,224.27,225.97,55903500,0
2021-07-02,226.33,233.33,224.42,226.3,81163500,0
2021-07-06,227.24,228.0,217.13,219.86,69853500,0
2021-07-07,221.42,221.9,212.77,214.88,56376000,0
2021-07-08,209.46,218.14,206.82,217.6,68319900,0
2021-07-09,217.73,219.64,214.9,218.98,54421500,0
2021-07-12,220.73,229.08,220.72,228.57,77781000,0
2021-07-13,228.77,231.09,222.1,222.85,62898300,0
2021-07-14,223.58,226.2,217.61,217.79,64923600,0
2021-07-15,219.46,222.05,212.63,216.87,60628800,0
2021-07-16,218.23,218.9,214.07,214.74,49113000,0
2021-07-19,209.96,215.73,207.1,215.41,63891300,0
2021-07-20,217.33,220.8,213.5,220.17,46461300,0
2021-07-21,219.87,221.62,216.76,218.43,41859900,0
2021-07-22,218.81,220.72,214.87,216.42,45317100,0
2021-07-23,215.45,216.27,212.43,214.46,43814700,0
2021-07-26,216.99,222.73,215.7,219.21,76009800,0
2021-07-27,221.13,222.17,209.08,214.93,98439900,0
2021-07-28,215.67,218.32,213.13,215.66,48019800,0
2021-07-29,216.6,227.9,216.27,225.78,91183800,0
2021-07-30,223.92,232.51,223.0,229.07,88969200,0
2021-08-02,233.33,242.31,232.8,236.56,100847400,0
2021-08-03,239.67,240.88,233.67,236.58,64860900,0
2021-08-04,237.0,241.63,236.31,236.97,51007800,0
2021-08-05,238.67,240.32,237.14,238.21,38758800,0
2021-08-06,237.3,238.78,232.54,233.03,46869000,0
2021-08-09,236.72,239.68,235.04,237.92,44145900,0
2021-08-10,238.0,238.86,233.96,236.66,40296900,0
2021-08-11,237.57,238.39,234.74,235.94,29401800,0
2021-08-12,235.45,240.93,233.13,240.75,52377300,0
2021-08-13,241.24,243.3,238.11,239.06,50194500,0
2021-08-16,235.02,236.5,225.47,228.72,68032200,0
2021-08-17,224.22,224.86,216.28,221.9,71163900,0
2021-08-18,223.25,231.92,223.12,229.66,61048200,0
2021-08-19,226.07,228.85,222.53,224.49,42940500,0
2021-08-20,227.62,230.71,224.57,226.75,44525700,0
2021-08-23,228.48,237.38,226.92,235.43,60794700,0
2021-08-24,236.89,238.41,234.21,236.16,39249300,0
2021-08-25,235.68,238.99,234.67,237.07,37936800,0
2021-08-26,236.1,238.47,232.54,233.72,39642900,0
2021-08-27,235.0,238.33,234.03,237.31,41501400,0
2021-08-30,238.24,243.67,237.58,243.64,55812600,0
2021-08-31,244.33,246.8,242.15,245.24,62566200,0
2021-09-01,244.69,247.33,243.76,244.7,39612900,0
2021-09-02,244.83,246.99,243.51,244.13,38331900,0
2021-09-03,244.08,244.67,241.4,244.52,45738300,0
2021-09-07,246.67,253.4,246.42,250.97,60119400,0
2021-09-08,253.86,254.82,246.92,251.29,56379000,0
2021-09-09,251.14,254.03,250.54,251.62,42233100,0
2021-09-10,253.2,254.2,244.84,245.42,45552600,0
2021-09-13,246.74,248.26,236.28,247.67,68857500,0
2021-09-14,247.52,251.49,245.47,248.16,55574700,0
2021-09-15,248.33,252.29,246.12,251.94,46073100,0
2021-09-16,250.94,252.97,249.2,252.33,41770200,0
2021-09-17,252.38,253.68,250.0,253.16,84612600,0
2021-09-20,244.85,247.33,239.54,243.39,74273100,0
2021-09-21,244.93,248.25,243.48,246.46,48992100,0
2021-09-22,247.84,251.22,246.37,250.65,45378900,0
2021-09-23,251.67,252.73,249.31,251.21,35842500,0
2021-09-24,248.63,258.27,248.19,258.13,64119000,0
2021-09-27,257.71,266.33,256.44,263.79,84212100,0
2021-09-28,262.4,265.21,255.39,259.19,76144200,0
2021-09-29,259.93,264.5,256.89,260.44,62828700,0
2021-09-30,260.33,263.04,258.33,258.49,53868000,0
2021-10-01,259.47,260.26,254.53,258.41,51094200,0
2021-10-04,265.5,268.99,258.71,260.51,91449900,0
2021-10-05,261.6,265.77,258.07,260.2,55297800,0
2021-10-06,258.73,262.22,257.74,260.92,43898400,0
2021-10-07,261.82,268.33,261.13,264.54,57587400,0
2021-10-08,265.4,265.46,260.3,261.83,50215800,0
2021-10-11,262.55,267.08,261.83,263.98,42600900,0
2021-10-12,266.98,270.77,265.52,268.57,66060000,0
2021-10-13,270.16,271.8,268.59,270.36,42360300,0
2021-10-14,271.83,273.42,271.12,272.77,36741600,0
2021-10-15,274.58,281.07,274.12,281.01,56773800,0
2021-10-18,283.93,291.75,283.82,290.04,72621600,0
2021-10-19,292.51,292.65,287.5,288.09,52143300,0
2021-10-20,288.45,289.83,285.79,288.6,42096300,0
2021-10-21,285.33,300.0,285.17,298.0,94444500,0
2021-10-22,298.5,303.33,296.99,303.23,68642400,0
2021-10-25,316.84,348.34,314.73,341.62,188556300,0
2021-10-26,341.56,364.98,333.81,339.48,187245000,0
2021-10-27,346.55,356.96,343.59,345.95,115579500,0
2021-10-28,356.1,360.33,351.4,359.01,81639600,0
2021-10-29,360.62,371.74,357.74,371.33,89755200,0
2021-11-01,381.67,403.25,372.89,402.86,168146100,0
2021-11-02,386.45,402.86,382.0,390.67,128213400,0
2021-11-03,392.44,405.13,384.21,404.62,103885500,0
2021-11-04,411.47,414.5,405.67,409.97,76192200,0
2021-11-05,409.33,413.29,402.67,407.36,64886400,0
2021-11-08,383.26,399.0,377.67,387.65,100337100,0
2021-11-09,391.2,391.5,337.17,341.17,177317400,0
2021-11-10,336.8,359.37,329.1,355.98,128408100,0
2021-11-11,367.59,368.32,351.56,354.5,67189800,0
2021-11-12,349.17,351.5,339.73,344.47,76719300,0
2021-11-15,339.21,343.99,326.2,337.8,104326800,0
